決算年度,業務コード,団体コード ,県名,団体名,団体区分,表番号,表名称,行番号,行名称,001:歳入総額,002:歳出総額,003:歳入歳出差引,004:翌年度に繰り越すべき財源,005:実質収支,006:単年度収支,007:積立金,008:繰上償還金,009:積立金取崩し額,010:実質単年度収支
2022,61,11002,北海道,札幌市,1,2,決算収支の状況,1,令和4年度,1227839677,1215838738,12000939,4179589,7821350,-2140318,534,0,3200000,-5339784
2022,61,12025,北海道,函館市,8,2,決算収支の状況,1,令和4年度,150163194,146551705,3611489,374120,3237369,92751,1561865,0,1000000,654616
2022,61,12033,北海道,小樽市,3,2,決算収支の状況,1,令和4年度,66320792,64823425,1497367,52844,1444523,-280327,847602,0,0,567275
2022,61,12041,北海道,旭川市,8,2,決算収支の状況,1,令和4年度,192603474,188381368,4222106,337105,3885001,-2624611,13068,0,0,-2611543
2022,61,12050,北海道,室蘭市,4,2,決算収支の状況,1,令和4年度,47139489,46144771,994718,31360,963358,84580,155060,0,0,239640
2022,61,12068,北海道,釧路市,3,2,決算収支の状況,1,令和4年度,101629191,99630262,1998929,27942,1970987,-2296856,594,0,0,-2296262
2022,61,12076,北海道,帯広市,3,2,決算収支の状況,1,令和4年度,91151075,89097684,2053391,39612,2013779,-242532,1229457,0,0,986925
2022,61,12084,北海道,北見市,3,2,決算収支の状況,1,令和4年度,78459451,76923679,1535772,50213,1485559,476560,27,0,0,476587
2022,61,12092,北海道,夕張市,4,2,決算収支の状況,1,令和4年度,13570482,13239601,330881,3683,327198,-318385,322828,0,0,4443
2022,61,12106,北海道,岩見沢市,4,2,決算収支の状況,1,令和4年度,49897096,49378412,518684,145125,373559,-24921,199351,12000,200000,-13570
2022,61,12114,北海道,網走市,4,2,決算収支の状況,1,令和4年度,27440345,27253830,186515,92095,94420,-28691,3201,0,0,-25490
2022,61,12122,北海道,留萌市,4,2,決算収支の状況,1,令和4年度,16249208,15764347,484861,14866,469995,-102474,311277,0,0,208803
2022,61,12131,北海道,苫小牧市,3,2,決算収支の状況,1,令和4年度,85930720,84213211,1717509,122247,1595262,-344681,1354672,0,1085910,-75919
2022,61,12149,北海道,稚内市,4,2,決算収支の状況,1,令和4年度,29563644,29188834,374810,104032,270778,22639,124084,0,0,146723
2022,61,12157,北海道,美唄市,4,2,決算収支の状況,1,令和4年度,19531985,19107822,424163,24204,399959,64135,168448,0,0,232583
2022,61,12165,北海道,芦別市,4,2,決算収支の状況,1,令和4年度,12653233,12428853,224380,0,224380,-97599,55230,0,0,-42369
2022,61,12173,北海道,江別市,3,2,決算収支の状況,1,令和4年度,54640855,53269100,1371755,75567,1296188,-223844,778565,0,2951,551770
2022,61,12181,北海道,赤平市,4,2,決算収支の状況,1,令和4年度,11569581,11125146,444435,900,443535,-118443,1767,0,150000,-266676
2022,61,12190,北海道,紋別市,4,2,決算収支の状況,1,令和4年度,43952845,43786396,166449,56744,109705,-526266,322053,0,250000,-454213
2022,61,12203,北海道,士別市,4,2,決算収支の状況,1,令和4年度,17770164,17339012,431152,5571,425581,-273037,90127,0,0,-182910
2022,61,12211,北海道,名寄市,4,2,決算収支の状況,1,令和4年度,25059418,24702214,357204,6965,350239,-111816,1875,0,125643,-235584
2022,61,12220,北海道,三笠市,4,2,決算収支の状況,1,令和4年度,14186929,13984612,202317,12940,189377,6404,626876,0,546153,87127
2022,61,12238,北海道,根室市,4,2,決算収支の状況,1,令和4年度,49047033,48070865,976168,11561,964607,-164799,560022,0,0,395223
2022,61,12246,北海道,千歳市,4,2,決算収支の状況,1,令和4年度,54887118,53231337,1655781,913208,742573,291374,10073,0,100000,201447
2022,61,12254,北海道,滝川市,4,2,決算収支の状況,1,令和4年度,24581322,23307845,1273477,5981,1267496,155091,106297,0,0,261388
2022,61,12262,北海道,砂川市,4,2,決算収支の状況,1,令和4年度,16254109,15689417,564692,3862,560830,-251726,485295,0,0,233569
2022,61,12271,北海道,歌志内市,4,2,決算収支の状況,1,令和4年度,5209696,5041985,167711,93,167618,-152558,0,0,0,-152558
2022,61,12289,北海道,深川市,4,2,決算収支の状況,1,令和4年度,20045616,19912306,133310,10175,123135,-321409,58426,0,0,-262983
2022,61,12297,北海道,富良野市,4,2,決算収支の状況,1,令和4年度,17140036,16931913,208123,50653,157470,-135315,38,53467,0,-81810
2022,61,12301,北海道,登別市,4,2,決算収支の状況,1,令和4年度,24985416,24201212,784204,45560,738644,-115254,6984,0,0,-108270
2022,61,12319,北海道,恵庭市,4,2,決算収支の状況,1,令和4年度,37443152,36269507,1173645,13407,1160238,-458415,74,0,42382,-500723
2022,61,12335,北海道,伊達市,4,2,決算収支の状況,1,令和4年度,23070724,22137988,932736,294496,638240,-507101,254,0,0,-506847
2022,61,12343,北海道,北広島市,4,2,決算収支の状況,1,令和4年度,32026040,31420878,605162,283650,321512,-301043,600020,0,0,298977
2022,61,12351,北海道,石狩市,4,2,決算収支の状況,1,令和4年度,35743012,34398138,1344874,128165,1216709,593416,16,0,0,593432
2022,61,12360,北海道,北斗市,4,2,決算収支の状況,1,令和4年度,23870944,23222589,648355,52411,595944,46089,118,0,198607,-152400
2022,61,13030,北海道,当別町,5,2,決算収支の状況,1,令和4年度,15137000,14848364,288636,2201,286435,-124180,88360,0,88345,-124165
2022,61,13048,北海道,新篠津村,5,2,決算収支の状況,1,令和4年度,4393441,4307590,85851,0,85851,7932,44058,0,40000,11990
2022,61,13315,北海道,松前町,5,2,決算収支の状況,1,令和4年度,6346441,5961609,384832,6561,378271,-178310,21,0,0,-178289
2022,61,13323,北海道,福島町,5,2,決算収支の状況,1,令和4年度,5003406,4876016,127390,19958,107432,10358,50127,0,0,60485
2022,61,13331,北海道,知内町,5,2,決算収支の状況,1,令和4年度,4937281,4776137,161144,5104,156040,-34192,184845,0,0,150653
2022,61,13340,北海道,木古内町,5,2,決算収支の状況,1,令和4年度,4850430,4550627,299803,25228,274575,-5992,13468,0,0,7476
2022,61,13374,北海道,七飯町,5,2,決算収支の状況,1,令和4年度,13197007,12861309,335698,7528,328170,-50800,192000,122941,48000,216141
2022,61,13439,北海道,鹿部町,5,2,決算収支の状況,1,令和4年度,4620904,4518938,101966,4600,97366,46554,10159,0,0,56713
2022,61,13455,北海道,森町,5,2,決算収支の状況,1,令和4年度,14591151,14302004,289147,183725,105422,23059,418,0,0,23477
2022,61,13463,北海道,八雲町,5,2,決算収支の状況,1,令和4年度,16371046,15822256,548790,50888,497902,230844,0,0,250000,-19156
2022,61,13471,北海道,長万部町,5,2,決算収支の状況,1,令和4年度,7124038,6927094,196944,30582,166362,8099,384230,0,561000,-168671
2022,61,13617,北海道,江差町,5,2,決算収支の状況,1,令和4年度,6371485,6104137,267348,25690,241658,66711,82,0,30000,36793
2022,61,13625,北海道,上ノ国町,5,2,決算収支の状況,1,令和4年度,6353601,6248319,105282,7764,97518,-8406,431561,0,500000,-76845
2022,61,13633,北海道,厚沢部町,5,2,決算収支の状況,1,令和4年度,5517592,5405971,111621,33600,78021,-1072,283054,0,150000,131982
2022,61,13641,北海道,乙部町,5,2,決算収支の状況,1,令和4年度,4923534,4824341,99193,1000,98193,-5477,15764,0,12912,-2625
2022,61,13676,北海道,奥尻町,5,2,決算収支の状況,1,令和4年度,5268298,5113676,154622,50,154572,6314,73525,0,300,79539
2022,61,13706,北海道,今金町,5,2,決算収支の状況,1,令和4年度,8128242,7910287,217955,197010,20945,-19538,2166,0,13032,-30404
2022,61,13714,北海道,せたな町,5,2,決算収支の状況,1,令和4年度,9701603,9386182,315421,35616,279805,-82663,1169,0,233882,-315376
2022,61,13919,北海道,島牧村,5,2,決算収支の状況,1,令和4年度,2878601,2787803,90798,0,90798,-2165,18,0,177204,-179351
2022,61,13927,北海道,寿都町,5,2,決算収支の状況,1,令和4年度,7158234,7107194,51040,0,51040,-153,2,0,0,-151
2022,61,13935,北海道,黒松内町,5,2,決算収支の状況,1,令和4年度,5175666,4926867,248799,27787,221012,76392,111020,0,128783,58629
2022,61,13943,北海道,蘭越町,5,2,決算収支の状況,1,令和4年度,7679669,7250532,429137,60698,368439,20507,201003,0,150000,71510
2022,61,13951,北海道,ニセコ町,5,2,決算収支の状況,1,令和4年度,5632108,5443632,188476,916,187560,2963,5,0,0,2968
2022,61,13960,北海道,真狩村,5,2,決算収支の状況,1,令和4年度,2826137,2733482,92655,1895,90760,17525,20000,0,30000,7525
2022,61,13978,北海道,留寿都村,5,2,決算収支の状況,1,令和4年度,3213001,3075613,137388,169,137219,27958,7221,0,0,35179
2022,61,13986,北海道,喜茂別町,5,2,決算収支の状況,1,令和4年度,3055732,3012249,43483,0,43483,-17048,33789,0,0,16741
2022,61,13994,北海道,京極町,5,2,決算収支の状況,1,令和4年度,4650114,4400780,249334,3452,245882,53414,73,0,100000,-46513
2022,61,14001,北海道,倶知安町,5,2,決算収支の状況,1,令和4年度,11826735,11366251,460484,37570,422914,59608,353450,0,350000,63058
2022,61,14010,北海道,共和町,5,2,決算収支の状況,1,令和4年度,7367410,7226731,140679,9129,131550,11924,1021,0,103142,-90197
2022,61,14028,北海道,岩内町,5,2,決算収支の状況,1,令和4年度,9567729,8958269,609460,974,608486,-2802,300182,0,0,297380
2022,61,14036,北海道,泊村,5,2,決算収支の状況,1,令和4年度,5005831,4966866,38965,0,38965,3284,114150,0,0,117434
2022,61,14044,北海道,神恵内村,5,2,決算収支の状況,1,令和4年度,3666189,3303045,363144,17160,345984,187739,40000,0,161620,66119
2022,61,14052,北海道,積丹町,5,2,決算収支の状況,1,令和4年度,3339046,3198511,140535,15125,125410,-23858,6,0,0,-23852
2022,61,14061,北海道,古平町,5,2,決算収支の状況,1,令和4年度,4276965,4066003,210962,9466,201496,60644,153240,0,0,213884
2022,61,14079,北海道,仁木町,5,2,決算収支の状況,1,令和4年度,4753630,4728690,24940,0,24940,-21569,106,0,0,-21463
2022,61,14087,北海道,余市町,5,2,決算収支の状況,1,令和4年度,11615538,11224280,391258,8602,382656,-106998,5,326706,40000,179713
2022,61,14095,北海道,赤井川村,5,2,決算収支の状況,1,令和4年度,2796527,2708329,88198,7252,80946,-52598,2,0,0,-52596
2022,61,14231,北海道,南幌町,5,2,決算収支の状況,1,令和4年度,8245066,8119396,125670,0,125670,-26356,76029,0,17984,31689
2022,61,14249,北海道,奈井江町,5,2,決算収支の状況,1,令和4年度,5811702,5664608,147094,0,147094,1354,156511,0,0,157865
2022,61,14257,北海道,上砂川町,5,2,決算収支の状況,1,令和4年度,3465047,3349777,115270,0,115270,21893,35,0,0,21928
2022,61,14273,北海道,由仁町,5,2,決算収支の状況,1,令和4年度,5863937,5762871,101066,11257,89809,17770,162416,0,0,180186
2022,61,14281,北海道,長沼町,5,2,決算収支の状況,1,令和4年度,9303098,9240524,62574,16717,45857,-215,134282,0,813,133254
2022,61,14290,北海道,栗山町,5,2,決算収支の状況,1,令和4年度,10896748,10570203,326545,207,326338,15033,400858,0,0,415891
2022,61,14303,北海道,月形町,5,2,決算収支の状況,1,令和4年度,4440370,4344343,96027,2006,94021,2346,43,0,0,2389
2022,61,14311,北海道,浦臼町,5,2,決算収支の状況,1,令和4年度,4061163,3770508,290655,196994,93661,-161217,453,86907,158750,-232607
2022,61,14320,北海道,新十津川町,5,2,決算収支の状況,1,令和4年度,8097452,7689528,407924,43952,363972,-25014,948,154800,180000,-49266
2022,61,14338,北海道,妹背牛町,5,2,決算収支の状況,1,令和4年度,4067432,4008808,58624,0,58624,-591,40121,0,0,39530
2022,61,14346,北海道,秩父別町,5,2,決算収支の状況,1,令和4年度,4118075,4062780,55295,14541,40754,-68106,518,96908,50000,-20680
2022,61,14362,北海道,雨竜町,5,2,決算収支の状況,1,令和4年度,4010580,3900639,109941,940,109001,42301,34143,0,0,76444
